participant,branch,application,gender,age,rp,tp,fn,pp,fp,desired_tpr,tpr,desired_ppv,ppv,acceptable,useful,would_use,acceptable_b,useful_b,would_use_b
p77,Application,alarm_text_message,Male,32,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,alarm_text_message,Male,32,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,alarm_text_message,Male,32,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p77,Application,alarm_text_message,Male,32,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Quite unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p77,Application,alarm_text_message,Male,32,10,8,2,8,0,0.833333333,0.8,1,1,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,alarm_text_message,Male,32,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Extremely unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,alarm_text_message,Male,32,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Slightly likely,Slightly likely,FALSE,TRUE,TRUE
p77,Application,alarm_text_message,Male,32,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite unlikely,Quite unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p77,Application,alarm_text_message,Male,32,10,10,0,10,0,1,1,1,1,Quite likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p77,Application,alarm_text_message,Male,32,10,10,0,12,2,1,1,0.833333333,0.833333333,Quite likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p77,Application,alarm_text_message,Male,32,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly unlikely,Slightly likely,Slightly likely,FALSE,TRUE,TRUE
p77,Application,alarm_text_message,Male,32,10,10,0,20,10,1,1,0.5,0.5,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,5,5,5,0,0.5,0.5,1,1,Slightly unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Quite unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Slightly unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly unlikely,Slightly likely,Slightly likely,FALSE,TRUE,TRUE
p77,Application,electricity,Male,32,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Slightly unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Slightly unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p77,Application,electricity,Male,32,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly unlikely,Slightly likely,Slightly likely,FALSE,TRUE,TRUE
p77,Application,electricity,Male,32,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Slightly likely,Slightly likely,FALSE,TRUE,TRUE
p77,Application,electricity,Male,32,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,10,0,10,0,1,1,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p77,Application,electricity,Male,32,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly unlikely,Slightly likely,Quite likely,FALSE,TRUE,TRUE
p77,Application,electricity,Male,32,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,electricity,Male,32,10,10,0,20,10,1,1,0.5,0.5,Quite unlikely,Slightly unlikely,Slightly likely,FALSE,FALSE,TRUE
p77,Application,location,Male,32,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,7,3,7,0,0.666666667,0.7,1,1,Extremely unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,8,2,8,0,0.833333333,0.8,1,1,Slightly unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,10,0,10,0,1,1,1,1,Quite likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p77,Application,location,Male,32,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p77,Application,location,Male,32,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Quite unlikely,Neither,Quite unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Neither,Quite unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,7,3,7,0,0.666666667,0.7,1,1,Slightly likely,Quite likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Neither,Slightly unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly unlikely,Slightly likely,Neither,FALSE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Neither,Slightly unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_police,Female,24,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Slightly unlikely,Slightly likely,Slightly unlikely,FALSE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,10,0,12,2,1,1,0.833333333,0.833333333,Extremely likely,Extremely likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite likely,Quite likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_police,Female,24,10,10,0,20,10,1,1,0.5,0.5,Neither,Slightly likely,Neither,FALSE,TRUE,FALSE
p78,UI,alarm_text_message,Female,24,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Quite unlikely,NA,FALSE,FALSE,NA
p78,UI,alarm_text_message,Female,24,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_text_message,Female,24,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_text_message,Female,24,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p78,UI,alarm_text_message,Female,24,10,7,3,7,0,0.666666667,0.7,1,1,Slightly unlikely,Slightly unlikely,Neither,FALSE,FALSE,FALSE
p78,UI,alarm_text_message,Female,24,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_text_message,Female,24,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_text_message,Female,24,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p78,UI,alarm_text_message,Female,24,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Quite likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,10,0,12,2,1,1,0.833333333,0.833333333,Extremely likely,Extremely likely,Quite likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,10,0,15,5,1,1,0.666666667,0.666666667,Extremely likely,Extremely likely,Quite likely,TRUE,TRUE,TRUE
p78,UI,alarm_text_message,Female,24,10,10,0,20,10,1,1,0.5,0.5,Neither,Neither,Neither,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Slightly likely,Quite unlikely,FALSE,TRUE,FALSE
p82,UI,alarm_police,Female,27,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Slightly likely,Slightly likely,FALSE,TRUE,TRUE
p82,UI,alarm_police,Female,27,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,8,2,8,0,0.833333333,0.8,1,1,Quite unlikely,Slightly likely,Slightly unlikely,FALSE,TRUE,FALSE
p82,UI,alarm_police,Female,27,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,10,0,10,0,1,1,1,1,Slightly likely,Neither,Slightly unlikely,TRUE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,10,0,12,2,1,1,0.833333333,0.833333333,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_police,Female,27,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Slightly likely,Quite unlikely,FALSE,TRUE,FALSE
p82,UI,alarm_police,Female,27,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Neither,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Neither,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,8,2,8,0,0.833333333,0.8,1,1,Quite unlikely,Neither,Neither,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,10,0,10,0,1,1,1,1,Quite likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p82,UI,alarm_text_message,Female,27,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Neither,Neither,TRUE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly likely,Neither,Neither,TRUE,FALSE,FALSE
p82,UI,alarm_text_message,Female,27,10,10,0,20,10,1,1,0.5,0.5,Slightly unlikely,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,8,2,8,0,0.833333333,0.8,1,1,Neither,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Neither,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,10,0,10,0,1,1,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p87,Application,alarm_text_message,Male,56,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Slightly likely,NA,TRUE,TRUE,NA
p87,Application,alarm_text_message,Male,56,10,10,0,15,5,1,1,0.666666667,0.666666667,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,alarm_text_message,Male,56,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,7,3,7,0,0.666666667,0.7,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,8,2,8,0,0.833333333,0.8,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,10,0,10,0,1,1,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,10,0,12,2,1,1,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,10,0,15,5,1,1,0.666666667,0.666666667,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,electricity,Male,56,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,5,5,5,0,0.5,0.5,1,1,Neither,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,7,3,7,0,0.666666667,0.7,1,1,Neither,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p87,Application,location,Male,56,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,10,0,10,0,1,1,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p87,Application,location,Male,56,10,10,0,12,2,1,1,0.833333333,0.833333333,Neither,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,10,0,15,5,1,1,0.666666667,0.666666667,Neither,Neither,Neither,FALSE,FALSE,FALSE
p87,Application,location,Male,56,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p91,Application,alarm_text_message,Male,28,10,5,5,5,0,0.5,0.5,1,1,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p91,Application,alarm_text_message,Male,28,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Neither,Neither,Neither,FALSE,FALSE,FALSE
p91,Application,alarm_text_message,Male,28,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
